py-etelemetry, 39050, 386595
py-importlib-resources, 5360, 34916
py-keyrings-alt, 4559, 30037
py-matplotlib, 43438, 440370
py-pycparser, 4359, 28736
py-pymysql, 39018, 386094
py-seqeval, 42068, 404284
py-uvw, 39168, 388971
r-annotate, 42061, 486949
r-coin, 40185, 418565
r-fitdistrplus, 39651, 403010
r-htmltable, 40681, 438155
r-microbenchmark, 39261, 389983
r-progress, 40041, 420244
r-rrblup, 39295, 390058
r-tensor, 39262, 389990
rdkit, 39097, 386393
showfont, 399, 2148
slate, 43109, 411128
trf, 200, 262
units, 4009, 27512
vcsh, 39010, 386034
xset, 1465, 10788
asdf-cxx, 39300, 388928
bpp-core, 39033, 386080
compiz, 6534, 51322
cromwell-womtool, 39007, 386099
ethminer, 39095, 386437
fujitsu-ssl2, 315, 434
gaussian-view, 39370, 389634
harfbuzz, 38991, 384025
iozone, 198, 251
jimtcl, 199, 258
kbd, 986, 6250
lame, 228, 457
ldc, 39255, 389227
libvpx, 943, 5753
libxsmm, 4085, 27837
lua-luaposix, 411, 1781
maven, 38991, 384037
mrcpp, 39195, 388996
opa-psm2, 943, 5788
opengl, 498, 497
openslp, 4193, 29122
pajeng, 39557, 394611
pgplot, 197, 244
premake-core, 199, 258
py-abipy, 51136, 542368
py-beniget, 4424, 29327
py-bokeh, 40922, 400984
py-flufl-lock, 4702, 31264
py-git-review, 39174, 386950
py-m2r, 4734, 30415
py-mpi4py, 39125, 386821
py-pyamg, 40444, 398406
py-rasterio, 44637, 480691
py-torchaudio, 52146, 499582
r-aneufinderdata, 39292, 390072
r-cellranger, 40472, 431839
r-europepmc, 42069, 488124
r-gofuncr, 42448, 490008
r-magick, 39543, 399262
r-pkgconfig, 39263, 389997
r-rex, 39345, 394212
r-sm, 39296, 390068
r-varselrf, 39397, 392287
rocrand, 39565, 387339
soci, 39093, 386348
timemory, 55132, 559413
xkill, 1468, 10796
xterm, 4471, 32650
aspa, 39033, 387059
bref3, 39009, 386113
converge, 39126, 386724
editres, 4317, 31201
everytrace, 39058, 386628
fujitsu-mpi, 302, 414
gawk, 4176, 28786
glew, 39050, 386276
hiop, 49978, 444438
laghos, 79454, 663162
mindthegap, 39037, 386115
nag, 199, 258
neovim, 39478, 392364
openslide, 39067, 386391
perl-net-scp-expect, 678, 3380
perl-text-csv, 678, 3380
ply, 910, 5484
protobuf, 39175, 386693
py-azure-mgmt-hdinsight, 39604, 402602
py-cfgrib, 50209, 549449
py-hpccm, 4541, 29947
py-ipython, 5897, 39915
py-lazy-object-proxy, 4563, 30046
py-mido, 4357, 28727
py-neobolt, 4355, 28708
py-opppy, 44968, 455224
py-pytest-benchmark, 6681, 44285
py-python-oauth2, 4354, 28706
py-repoze-lru, 39026, 386111
py-tensorflow, 48844, 449674
r-affyilm, 40703, 424284
r-bridgesampling, 40560, 437585
r-dss, 45155, 533521
r-glue, 39339, 390168
r-laplacesdemon, 39297, 390072
r-nloptr, 42124, 443174
r-rcpphnsw, 39350, 392250
r-selectr, 39624, 400976
r-txdb-hsapiens-ucsc-hg18-knowngene, 47826, 599270
ruby-erubis, 4126, 28428
sbp, 39031, 386071
sst-transports, 39736, 400418
uriparser, 39864, 402137
xkbprint, 1187, 8025
xsetroot, 1670, 13049
aspcud, 39956, 402570
c-blosc, 39221, 388613
cradl, 57496, 567487
fribidi, 910, 5484
gatetools, 60182, 651930
hstr, 925, 5580
hybpiper, 39711, 399481
libatomic-ops, 198, 251
libconfig, 917, 5537
libfastjson, 912, 5498
liblbxutil, 381, 1785
libopts, 197, 244
libtermkey, 905, 5439
libxml2, 3993, 27107
lrslib, 941, 5798
man-db, 39245, 391359
namd, 41131, 398610
otf, 233, 489
parsimonator, 197, 244
percona-server, 39186, 387335
py-aiodns, 4661, 31204
py-argparse, 4354, 28706
py-attrs, 4362, 28757
py-azure-mgmt-apimanagement, 39605, 402609
py-chai, 4354, 28706
py-dask-ml, 58718, 597089
py-modred, 39021, 386117
py-py, 4559, 30059
py-pyfits, 39018, 386094
py-rpy2, 39476, 400173
py-transformers, 44296, 458640
r-affypdnn, 39781, 407472
r-cairo, 39316, 390179
r-ellipse, 39296, 390065
r-gmodels, 39465, 396533
r-leiden, 39901, 412128
r-party, 40331, 423195
r-reordercluster, 39717, 405240
r-somaticsignatures, 54570, 830715
savanna, 45458, 477860
tealeaf, 39007, 386461
wrf, 40569, 414824
arrayfire, 42857, 428767
cassandra, 39010, 386130
cudnn, 4461, 29034
denovogear, 39332, 391047
fenics-dolfinx, 62297, 580220
htslib, 39094, 386464
lapackpp, 41367, 398753
libxfixes, 1189, 7944
linux-pam, 910, 5484
lxc, 919, 5547
memsurfer, 41739, 429331
ninja, 4016, 27563
nvptx-tools, 4282, 29191
omega-h, 65271, 625468
py-angel, 41985, 406199
py-backports-shutil-get-terminal-size, 4391, 28787
py-bids-validator, 4354, 28706
py-boom-boot-manager, 4358, 28734
py-colorama, 4367, 28742
py-dill, 4615, 29286
py-exodus-bundler, 4394, 28944
py-flask-babel, 5926, 41294
py-gf256, 4449, 29896
py-h5glance, 40045, 395277
py-ntlm-auth, 4450, 28866
py-packaging, 4630, 30676
py-pillow, 39871, 390574
py-python-json-logger, 4429, 28861
py-radiant-mlhub, 42937, 436404
py-tomopy, 53127, 561786
r-assertive-reflection, 39321, 392131
r-credentials, 39545, 400907
r-fs, 39373, 392327
r-illuminahumanmethylationepicmanifest, 50729, 698737
r-preprocesscore, 39266, 390018
